,scenario_id,Human Share %,OpenAI Share %,Google Share %,Anthropic Share %,market_structure,firesale_term,adversarial,label
0,0,100.0,0.0,0.0,0.0,No AI,0.05075,False,[0] baseline - no AI
1,1,75.0,25.0,0.0,0.0,Monopoly,0.10415781249999999,False,25% AI adoption - Monopoly (OpenAI)
2,2,75.0,0.0,0.0,25.0,Monopoly,0.0644765625,False,25% AI adoption - Monopoly (Anthropic)
3,3,75.0,0.0,25.0,0.0,Monopoly,0.0835625,False,25% AI adoption - Monopoly (Google)
4,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.08406562499999999,False,25% AI adoption - Equal diversity
5,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.09210249999999999,False,25% AI adoption - Skewed oligopoly (OpenAI)
6,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.07623,False,25% AI adoption - Skewed oligopoly (Anthropic)
7,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.08386437500000002,False,25% AI adoption - Skewed oligopoly (Google)
8,8,50.0,50.0,0.0,0.0,Monopoly,0.157565625,False,50% AI adoption - Monopoly (OpenAI)
9,9,50.0,0.0,0.0,50.0,Monopoly,0.07820312500000001,False,50% AI adoption - Monopoly (Anthropic)
10,10,50.0,0.0,50.0,0.0,Monopoly,0.116375,False,50% AI adoption - Monopoly (Google)
11,11,50.0,16.666666666666664,16.666666666666664,16.666666666666664,Equal diversity,0.11738124999999999,False,50% AI adoption - Equal diversity
12,12,50.0,30.0,10.0,10.0,Skewed oligopoly,0.133455,False,50% AI adoption - Skewed oligopoly (OpenAI)
13,13,50.0,10.0,10.0,30.0,Skewed oligopoly,0.10171000000000001,False,50% AI adoption - Skewed oligopoly (Anthropic)
14,14,50.0,10.0,30.0,10.0,Skewed oligopoly,0.11697875,False,50% AI adoption - Skewed oligopoly (Google)
15,15,25.0,75.0,0.0,0.0,Monopoly,0.2109734375,False,75% AI adoption - Monopoly (OpenAI)
16,16,25.0,0.0,0.0,75.0,Monopoly,0.0919296875,False,75% AI adoption - Monopoly (Anthropic)
17,17,25.0,0.0,75.0,0.0,Monopoly,0.14918750000000003,False,75% AI adoption - Monopoly (Google)
18,18,25.0,25.0,25.0,25.0,Equal diversity,0.150696875,False,75% AI adoption - Equal diversity
19,19,25.0,45.0,15.0,15.0,Skewed oligopoly,0.1748075,False,75% AI adoption - Skewed oligopoly (OpenAI)
20,20,25.0,15.0,15.0,45.0,Skewed oligopoly,0.12719000000000003,False,75% AI adoption - Skewed oligopoly (Anthropic)
