,scenario_id,Human Share %,OpenAI Share %,Google Share %,Anthropic Share %,market_structure,firesale_term,adversarial,label
0,0,100.0,0.0,0.0,0.0,No AI,0.05,False,[0] baseline - no AI
1,1,75.0,25.0,0.0,0.0,Monopoly,0.1130375,False,25% AI adoption - Monopoly (OpenAI)
2,2,75.0,0.0,0.0,25.0,Monopoly,0.06768750000000001,False,25% AI adoption - Monopoly (Anthropic)
3,3,75.0,0.0,25.0,0.0,Monopoly,0.08950000000000001,False,25% AI adoption - Monopoly (Google)
4,4,75.0,8.333333333333332,8.333333333333332,8.333333333333332,Equal diversity,0.090075,False,25% AI adoption - Equal diversity
5,5,75.0,15.0,5.0,5.0,Skewed oligopoly,0.09926,False,25% AI adoption - Skewed oligopoly (OpenAI)
6,6,75.0,5.0,5.0,15.0,Skewed oligopoly,0.08112000000000001,False,25% AI adoption - Skewed oligopoly (Anthropic)
7,7,75.0,5.0,15.0,5.0,Skewed oligopoly,0.08984500000000001,False,25% AI adoption - Skewed oligopoly (Google)
8,8,50.0,50.0,0.0,0.0,Monopoly,0.17607499999999998,False,50% AI adoption - Monopoly (OpenAI)
9,9,50.0,0.0,0.0,50.0,Monopoly,0.085375,False,50% AI adoption - Monopoly (Anthropic)
10,10,50.0,0.0,50.0,0.0,Monopoly,0.129,False,50% AI adoption - Monopoly (Google)
11,11,50.0,16.666666666666664,16.666666666666664,16.666666666666664,Equal diversity,0.13015,False,50% AI adoption - Equal diversity
12,12,50.0,30.0,10.0,10.0,Skewed oligopoly,0.14851999999999999,False,50% AI adoption - Skewed oligopoly (OpenAI)
13,13,50.0,10.0,10.0,30.0,Skewed oligopoly,0.11224,False,50% AI adoption - Skewed oligopoly (Anthropic)
14,14,50.0,10.0,30.0,10.0,Skewed oligopoly,0.12969,False,50% AI adoption - Skewed oligopoly (Google)
15,15,25.0,75.0,0.0,0.0,Monopoly,0.2391125,False,75% AI adoption - Monopoly (OpenAI)
16,16,25.0,0.0,0.0,75.0,Monopoly,0.1030625,False,75% AI adoption - Monopoly (Anthropic)
17,17,25.0,0.0,75.0,0.0,Monopoly,0.16850000000000004,False,75% AI adoption - Monopoly (Google)
18,18,25.0,25.0,25.0,25.0,Equal diversity,0.17022500000000002,False,75% AI adoption - Equal diversity
